job,sector,description
it recruiter,servicios tecnologia informacion,we are currently looking for high achieving  team working  and dynamic recruiter  in this role  you will support our growth plans by sourcing  screening  contacting  and successfully hiring the top talent in the industry  also  as recruiter  you will help to build and consolidate zemoga s culture through different initiatives and activities  showcasing our unique way of doing things like one of our most important differentiators to attract talent  zemoga is the groundbreaking and industry leading design and technology firm that was the first to offer the worlds leading brands the amazing talent from colombia and been doing so for over  years  our teams are in the top  of the workforce  we have one of the highest retention rates in the industry  and we have the most comprehensive and creative benefits program in the industry  zemoga might be the perfect place for you if youre driven by new idea  international travel  and working directly with the leaders of some of the smartest companies in the world  you will flourish at zemoga if you are  have  years of experience as recruiter  experience working in recruitment for the it industry  experience in other hr related processes  g  engagement  well being  people development  compliance  familiar with the end to end recruitment process  experience collaborating with third parties and vendors to comply with recruitment demands  g  job portals  external partners  autonomous and self directed working pacer  english level  excellent communication skills  able to articulate technical and non technical issues  meaning youre human  highly collaborative  supportive  and team player that demonstrates proactive attitude  responsive  assertive  and drive continuous improvement ethos  ability to work in an exciting and fast paced environment  willingness to share and improve  fearless  chronic curiosity  apply today and build better with us
brokerage assistant,logistica cadena suministro,descripcion  funcion principal cargo digitalizar informacion recibido operaciones procesada  requisito  estudios negocio internacional  experiencia area similar  nivel ingles intermedio  ciudad  medellin  horario  lunes viernes  contrato termino indefinido
auxiliar laboratorio materiales  cargar descargue  medellin,material equipo negocio  servicio consumidor  petroleo energia,descripcion empresa  sgs lider mundial ispeccion  verificacion  analisis certificacion  considerado principal referente mundial calidad interidad  contar mas  empleado red mas  oficina laboratorio mundo  descripcion  ingreso muestra registrarlas plataformas asignado  asegurar informacion suministrado cliente introducir oportunamente sistema  garantizar supervision control actividad recepcion muestra asegurar recibo programacion muestra ingresar  operaciones alistamiento material laboratorio  preparacion medio  pesaje analisis laboratorio  supervision autorizacion escrito  lavar material laboratorio  control reactivo  material laboratorio  mantener orden limpieza laboratorio cumplir normas seguridad laboratorio  ordenar archivar documento  asegurar informacion oportuno supervisor laboratorio  jefe laboratorio producto conforme  asegurar participacion activo auditorias interno externas  programado  asegurar participacion activo deteccion accion correctivo  preventivo plan mejora  velar recursos necesario desempenhar tarea incluido implementacion  mantenimiento mejora sistema gestion  asignadas inherente cargo  requisito  formacion academico  bachiller academico  experiencia  mes cargue descargue labores operativo  informacion adicional  salario  tipo contrato  obra labor  horario  lunes sabado
work from home  mystery shopper,servicios tecnologia informacion,we are seeking individuals who are looking for an exciting work from home opportunity  our mission is to deliver the best data solutions and expertise to developers of ai for communication  driven by our passion for innovation and our love of languages  we are still massively hiring and looking for more people to apply to our great opportunities  you can also invite your friends  as many as you like so they can also experience the opportunity to earn extra income while being at home  project overview  complete and review the online shopping experience of commerce advertisers on well known social media platform  mystery shoppers keep their purchases  mystery shoppers are reimbursed for their purchases  who doesnt like free products  key requirements  mystery shoppers should have some disposable income to make purchases upfront  mystery shoppers should be able to complete purchases with short  week timeline  attention to detail and strong reading comprehension is must  perks  flexible working hours  work from home  you can apply  work while you are working full time or studying  apply many projects as many as you can  once your account been created  click the  all projects  tab then you will see the  continue  button on the right side of the  unlock more projects complete your profile  complete the required information to unlock more projects  diverse  inclusive culture is vital to our mission of helping build better ai  we offer opportunities for individuals of all abilities and backgrounds
senior web analyst,servicios tecnologia informacion  software,we are looking for  remote senior web analyst  with rich experience in resolving challenging tracking tasks  as well as strong analytical skills to join our team  the customer is one of the world s leading communications services companies  it was establisher in  it is the largest mobile network operator in the uk  with morar than  million customers  and the largest operator of  g services in europe  please note that even though you are applying for this position  you may be offered   other projects to join within epam anywhere  join epam anywhere to quickly and easily find projects that match your knowledge and experience  while working with forbes global  clients  building successful it career  and earning competitive rewards  the platform provides additional perks  including flexible schedule  professional development opportunities  and access to community of experts  we accept cvs only in english  responsibilities  create measurement plans and develop kpis  setting up tracking  including tracking for non standard flows  funnels  and applications  using different tracking systems  while applying enough creativity to find the best methods of data capturing strategy development and implementation for our clients  communicate lot with other departments and with our customer while trying to find the best way to provide the customers with data that can change their online business  build insightful automated dashboards  google data studio  tableau  power bi  make data based recommendations on how to improve clients  online strategy  conduct deep dive research on all areas of customers  online strategy  requirements  degree in marketing  mathematics  statistics  engineering  years of web analytics experience  additional experience in online marketing  g  seo  would be plus  experience with adobe analytics  vast experience in variety of web analytics tools  tag management solutions  data visualization tools  proficiency in  b testing  statistical and analytical skills with an ability to spot any issues or trends in data  english level  nice to have  proficient with sql  r  python  knowledge of javascript  we offer  competitive compensation depending on experience and skills  work in enterprise level projects on long term basis  you will have  remote full time job  unlimited access to learning courses  epam training courses  english regular classes  internal library  community of  industrys top professionals
ui developer,internet  software  servicios tecnologia informacion,adk group   company  is rapidly growing  person digital agency and application development company that designs and builds websites  web applications  and native mobile applications for wide variety of companies  from emerging startups to large enterprises  we are headquartered in boston  massachusetts with offices in louisville  kentucky and medellin  colombia  our clients span wide range of industries  from healthcar to manufacturing and higher education  our culture is one that embraces adventure and philanthropy  with focus on teamwork  our employees share diverse technical skill sets and excel in taking ownership of their projects  successful employees will have an unwavering commitment and motivation to take projects from polished designs and functional requirements to fully functioning  interactive web and mobile applications for our clients  our growth is significant and we are looking to add several new members to our team in medellin  job description  we are specifically looking for ui developer with at least  years of hands on coding experience in react  experience working in fast paced  team based environment is crucial  as employees are constantly collaborating with colleagues to bridge the gap between functional requirements  graphic design and technical implementation  this is an outstanding opportunity if you are looking to leverage and enhance your javascript skills by creating meaningful custom applications  responsibilities  deliver best in class front end solutions for clients using javascript frameworks  write stories  cases  technical and functional requirements  tests and code  help guide clients towards effective solutions that balance technical requirements and business needs  attend development meetings  stand ups  kick offs  retrospectives  and design sessions with teams and clients  other tasks as assigned  must have skills  years of hands on react experience  knowledge of javascript ui framework  g  react  vue js  or angular  as well as supplemental libraries for testing  routing  data management  api communication  authentication  bundling  and deployment  knowledge of statically typed typescript  strong understanding of react build process  demonstrable proficiency in the and organization of modules and modular css  experience with state management via redux  experience with html  css  knowledge of web accessibility  strong debugging skills  compensation  benefits  and perks  competitive market salary  comprehensive medical coverage  professional development opportunities  company sponsored english classes  monthly transportation allowance  significant internal growth opportunities  were growing quickly
account executive  bogota  colombia,marketing publicidad  servicios tecnologia informacion  internet,start up trazar objetivo revolucionar educacion america latina  equipo mas  persona colombia  mexico  peru  argentina chile objetivo  suenho profesional  empezar operaciones  fecha levantar mas  millon dolar capital riesgo  rondas inversion  acompanhar inversionistas global regional  acumen capital  mountain nazca  salesforce ventures  rethink education  buscar escalar oferta curso  desarrollar producto  consolidar marca mexico colombia  expandirnos geografia  asi crehana crecer pasos agigantado  objetivo lider industria dia  querer posicionarnos plataforma lider educacion region  entras tallar  buscar  account executive bogota  equipo ayudar cumplir objetivo proponer  mision  account executive  sera responsable buscar desarrollar cartera cliente potencial colombia  asi nivel latam  excepto peru mexico  sumar reto crear experiencia aprendizaje medida fomentar aprendizaje continuo organizacion puedan enfrentarse reto industria cambiante miles reformulan tecnologia  buscar reto profesional prueba conocimientos capacidad dia  ¡ posicion  account executive  roles seran  superar cuota mensual  trimestral anual venta asignado  participar ciclo venta  generacion prospeccion cliente potencial  gestion pipeline  cierre incorporacion cliente  cultivar mantener relacion comerciales mediano grande  mano sales development executives customer success executives garantizar colocacion seguimiento exitoso cliente  alinear recursos producto  operaciones marketing sostener negocio  utilizar tactico venta innovador creativo  presentar solucion comerciales crehana empresas cliente potencial  recordar rol fluido  frecuencia  evolucionar funcion prioridad estrategia corporativo demanda mercado   preferencia  graduado universidad  anho minimo  posees excelente habilidad comunicacion escrito  verbal presentacion ingles  imprescindible   anho experiencia venta pequenho  experiencia venta solucion comerciales  imprescindible  experiencia generacion estrategia adquisicion venta  imprescindible  posees experiencia desarrollo negocio  plus  experiencia manejo salesforce  crm venta  jugador  equipo mentalidad  ningun demasiado grande  ningun demasiado pequenho  capaz establecer fomentar relacion c level  penetrar mercado generar iniciativo penetracion  persona altamente organizado  orientado detalle actitud resolucion problema  posees fuerte etica espiritu emprendedor  capacidad desempenhar multiple funcion operar forma independiente  genuino interes educacion transformacion social  imprescindible  beneficios  crehana preocupar bienestar equipo  nivel personal  profesional   programa beneficio atender diverso necesidad  as crehaners  querer mas  invitar revisarlos link  ademas  plataforma entrenamiento proyeccion crecimiento latinoamerica espanha  mas  millon estudiante mundo mas  empresa confiar crehana  wayra  startup peru  emerge education endeavor global  equal employment opportunity statement  crehana  aceptar diferencias  celebrar  apoyar promover diversidad importante cultura  enorgullecer igualdad oportunidad persona importar religion  color  nacionalidad  origen  genero  orientacion sexual  identidad genero  expresion genero  edad persona tipo discapacidad  objetivo equipo diverso represente buscar construir futuro  latinoamerica incluyente  empoderado educado  decision  tranquilidad familia  tomar decision seguir forma remoto  preocupacion numero equipo  persona convivir  mantener salvo coyuntura
certified dental assistant,nan,we are looking for our next forever dental assistant  we are fast growing family in bilingual dental practice looking for dental assistant whose corar values match our own  our vision for our practice is to provide different level of experience in dentistry  this collaborative and well supported office will help you grow your skills as dental assistant while providing rewarding and exciting career  some responsibilities include the following  provide needed instruments  supplies during treatment procedures as indicated by dds  explain procedures as they are completed to patient  follow up with staff at facility to review recommendations for patient  work with clinical coordinator on schedule and follow up of patient carer and treatment  maintain dental equipment through regular cleaning and maintenance routines  inventory supplies and order as needed  ship and receive cases to and from lab on weekly basis at minimum  ensure high standard of infection control  perform front desk duties with courtesy  empathy and professionalism in fast paced  dynamic environment  other ad hoc related tasks  we cant describir everything we do in an employment ad  and you cant describir everything you do on resumir  so let s talk  you will enjoy fulfilling career unlike any other and will play vital role in changing the lives of our patients from colombia and abroad  please check out our website internationalsmiles co  to find out more about our practice
planner digital,nan,contratar empleado  contratamos futuro emprendedor   razon  viajar  experiencia memorable   asegurar asi  apoyandonos  innovacion  tecnologico  equipo humano comprometido experiencia viajero   amar  ofrecer servicio asistencia medico viaje nivel internacional  innovador adaptados forma moverse mundo  buscar  hombre mujer   anho  profesional mercadeo  publicidad  marketing digital  comercio internacional  carrera afin  postgrado areas marketing digital direccion  deseable   anho  experiencia planner digital liderar equipo creativo  preferencia companhias vender internet  habilidades  persona conocimientos avanzado plataforma seguimiento control campanha digital  tales  google analytics  google ads  facebook ads  seo  sem  capacidad analisis metrico  kpi campanha ejecutar  tomar decision criterio comercial estrategico corto  mediano plazo  conocimientos funnles venta  estrategia conversion  automatizacion marketing  inbound marketing  oto  capacidad liderazgo equipo creativo  seguimiento rendimiento kpi  conocimientos identidad marca  branding posicionamiento  asi creacion sostenimiento comunidad red social  organizad  objetivo  empatic  proactiv  propositiv  amante tecnologia  viajes  innovacion  responsabilidades retos  liderar equipo  creativo marca lider mercado seguro viaje latinoamerica  tendras equipo cracks  voz equipo comercial equipo creativo  participar forma activo estrategia comerciales  presentar resultado gestion directamente junta directiva holding  elaborar  plan marketing  trimestral  semestral anual marca  idear estrategia adaptadas modelo negocio digital  establecer okr semestral anual area  alineado objetivo empresarial  participar mesa creativo comite innovacion producto  idear estrategia directamente ceo holding companhia  proponer ejecutar proyecto innovacion mejorar experiencia usuario cliente  compensacion propuesto  ingreso fijo   cop  dependra perfil  ingreso variable   cop  cumplimiento kpi  encantar resultado  contrato indefinido  oportunidad carrera companhia  movilidad internacional  disponibilidad viajar  remoto  presencialidad situacion proyecto especial  incorporacion equipo desarrollo innovador  cultura organizacional agil  joven disruptivo  tipo startup  incorporacion plan estudio continuo medio alianza enterprise platzi com  participacion premiacion corporativo resultado  viajes  premio  intangible  horario  importante seran resultado cargo
analista bases datos sql oracle nivel,servicios tecnologia informacion  telecomunicaciones  recursos humano,rol  analista bases datos sql oracle nivel  requisitos  experiencia comprobado gestion base datos motor  oracle  sql server  mysql  postgresql  experiencia gestion area  aplicaciones  bases datos  so  area tt  monitoreo  diplomado  cursos certificados  certificacion base datos afin  opcional  competencias  persona agil diligente  excelente capacidad analisis toma decision  retentiva  memoria  seguridad trasmision informacion  actitud servicio  orientacion logro  presion  condiciones laborales   medellin  tipo contrato  termino indefinido  salario  vacante divulgada traves ticjob co
second line support operator,deportes  software  servicio informacion,bit about us  genius sports is the official data  technology and commercial partner that powers the global ecosystem connecting sports  betting and media  our mission is to champion more sustainable sports data ecosystem that benefits all parties  from the rights holder all the way through to the fan  we are the trusted partner to over  sports organisations globally  capturing the highest quality data for many of the worlds largest leagues and federations such as the nfl  nba  mlb  english premier league  serie  fiba and the ncaa  from enabling leagues to take control of their official data  to creating immersive fan experiences for sports  betting and media organisations  we are driven to the deliver the difference for our partners  what  w   d   sportstech  data capture  management and analysis tools that help leagues run their sport  unlock new revenue streams  and protect the integrity of their competitions  video  fully automated streaming technology  production and distribution services that help showcase sports to the world  sportsbook  everything sportsbook operator needs to manager their operation and grow profits – all powered by the finest live sports data available  media  engagement  we help brands and publishers engage and monetise sports fans with personaliser campaigns and content they will love  the role  second line support operator secures high level client service and seamless problem solving  youll be dealing with inquires that are escalated by all internal departments or are raised directly via client contact  you will be dealing with problems that lack straightforward solution and must be investigater in depth and encompass across all products as you will be backbone of the operation  being in close relationship with all the departments  main responsibilities  communicating with clients  solving problems  solving and prioritizing problems inside the company and the parent company  setting the licences and user rights in information systems for new and existing clients  helping other support operators with their work  solving problems  forwarding the information to the development team when necessary and providing feedback to clients  create and maintain knowledge base for known issues and solutions  completing additional tasks assigned by the line manager  required skills  strong communication skills  good written and verbal english  computer skills  problem solving skills  problem escalating skills  multitasking  accuracy and pressure handling  this role involves working mostly night hours  weekends and holidays included  desirable skills  independently working  initiative  organizing capacity  understanding of all the products  knowledge of internal tools  client service experience  knowledge of betting  basic t sql knowledge  good knowledge of it  we offer  we have work hard  play hard culturar at genius sports  we have many social events going on throughout the year such as  summer and christmas parties  monthly team building events  sports tournaments  birthday celebrations  food vouchers  charity days and wellbeing actives  health insurance coverage  skills training opportunities and many others depending on location are part of our benefits list  due to covid  restrictions  we are currently using virtual hiring processes in some locations  so that we can continue hiring great people whilst being mindful of the health of everyone involved in the recruitment process  please therefore be aware that  among other things  interviews may take place by phone or video  and some new hires may neer to be onboarded remotely  g  where access to office space is currently restricted  our talent acquisition team will be able to advise of arrangements in relation to specific roles  so please reach out to them with any questions  genius sports group is proud to be an equal opportunities employer  we recognize and celebrate the benefits that diverse and inclusive workforce bring to our business  our  customers  and our staff  we welcome and will consider all applications regardless of age  disability  gender re assignment  marriage  pregnancy  maternity  razar or nationality  religion or belief  sex  and sexual orientation  and any other status protected by applicable law
especialista servicios,servicios tecnologia informacion,¡ buscando  buscar  especialista servicios   colombia   anho experiencia  excepcional trayectoria  entregar solucion innovador seguro traves canal digital entidad financiero america latina desear transformar positivamente vida cliente   buscar humanizar relacion persona mundo financiero entregar solucion canal digital entidad financiero querer llegar usuario propuesto disenhado facilitar adopcion  fuerte presencia regional  mas  usuarios  millon transaccion anho cubrir espectro necesidad canal digital institucion financiero  ocupar cargo debera garantizar satisfaccion cliente interno externo traves acuerdo nivel servicio contratado cliente kpi´s internos companhia  gestion agil transversal solucion incidente atencion solicitud  consultorias asociado servicio proveer  persona detalle producto solucion nivel funcional tecnico asegurar diagnostico solucion incidente escalado acuerdo servicio contratado cliente  seguimiento incidente atender oportunamente solicitud asignado  funcion comunicacion  alto orientacion servicio capacidad analisis solucion problema  habilidad numerico  orientacion accion capacidad planeacion  fundamentos basicos itil  cobit  certificacion itil cobit  conocimientos basicos mensajeria html xml  conocimientos basicos arquitectura orientada servicios  soa  conocimientos basicos arquitectura aplicacion web  arquitecturas multicapas  conocimiento basico pl  sql  herramientas ofimaticas  experiencia analista soporte mesa servicio  experiencia soporte aplicaciones  ingles alto  cargo  ingresar link  jobs genoma work
quality analyst,servicios tecnologia informacion,do you love traveling  do you have experience in bpo  we are looking for quality analyst to join our team  as qa we need you to  to have at least  year of quality experience  ability to learn and apply procedures  adaptability  communication  and customer service skills in bpo related to traveling  stress tolerance  work commitment and motivation for the team  problem solving ability  mandatory requirements  excellent oral  written  and interpersonal communication skills in english  exceptional listening and analytical skills  intermediate level of knowledge  expertise with pc hardware and software  word and excel  experience as quality analyst in bpo industry  it is our policy to provide equal employment opportunities to all individuals based on job related qualifications and ability to perform job  without regard to age  gender  gender identity  sexual orientation  razar  color  religion  creer  national origin  disability  genetic information  veteran status  citizenship or marital status  and to maintain non discriminatory environment free from intimidation  harassment or bias based upon these grounds
