,data
10,rol analista bases dato sql oracle nivel requisito experiencia comprobado gestion base dato motor oracle sql server mysql postgresql experiencia gestion areas aplicación base datos areas monitoreo diplomado curso certificado certificacion base dato afín opcional competencia persona agil diligente excelente capacidad analisis tomar decisión retentiva memoria seguridad trasmision informacion actitud servicio orientacion logro presion condición laboral medellin tipo contrato termino indefinido salario vacante divulgado traves ticjob
11,buscar buscar especialista servicios colombia anhos experiencia excepcional trayectoria entregar solución innovador seguro traves canal digital entidades financiero america latino desean transformar positivamente vida clientes buscar humanizar relacion persona mundo financiero entregar solución canal digital entidades financiero querer llegar usuarios propuesto disenhada facilitar adopcion fuerte presencia regional mas usuarios millón transacción anho cubrir espectro necesidades canal digital institución financiero ocupe cargo debera garantizar satisfaccion cliente interno externo traves acuerdo niveles servicio contratado cliente kpi´s internos companhia gestion agil transversal solucion incidente atencion solicitud consultorias asociado servicio provee persona conocera detalle producto soluciones nivel funcional tecnico asegurar diagnostico solucion incidente escalado acuerdo servicio contratado clientes realizar seguimiento incidente atendera oportunamente solicitud asignado función comunicacion alto orientacion servicio capacidad analisis solucion problema habilidad numerica orientacion accion capacidad planeacion fundamento basicos itil cobit certificacion itil cobit conocimientos basicos mensajeria html xml conocimientos basicos arquitectura orientado servicio soa conocimientos basicos arquitectura aplicación web arquitectura multicapas conocimiento basico sql herramienta ofimaticas experiencia analista soporte mesa servicio experiencia soporte aplicación ingles alto cargo ingresar link jobs genoma work
12,intergrupo busqueda analista operacion soporte profesion tecnico tecnologo profesional sistema experiencia rol especifico anhos manejo herramienta ofimaticas caso incidente manejo correo electrono disponibilidad turno rotativo nivel ingles ofrecer contrato termino indefinido prestación social clase ingles beneficio adicional
13,customer service representative supports customers providing helpful information answering questions and responding complaints they the front line support for clients and customers and they help ensure that customers are satisfied with products services and features representante servicio cliente apoyar cliente brindandoles informacion util responder preguntas responder queja linea soporte cliente clientes ayudar garantizar cliente esten satisfecho producto servicio caracteristicas requisito nivel ingles superior experiencia previa bpo call center preferible excelente actitud disponibilidad lunes sabado horario diurnos salario competitivo posicion presencial remoto ciudad medellin comer join our amazing team idioma ingles disponibilidad viajar disponibilidad cambio residencia
14,start trazado objetivo revolucionar educacion america latino equipo mas persona colombia mexico peru trabajar objetivo suenho profesional empezar operaciones fecha levantado mas millón dolares capital riesgo rondas inversion acompanhan inversionistas global regional acumen capital mountain nacer salesforce ventures rethink education buscar escalar oferta curso desarrollar producto consolidar marca mexico colombia expandirnos geografias asi crehana crecer pasos agigantado objetivo lideres industria dias posicionarnos plataforma lider educacion region entras tallar buscar senior account executive cali equipo ayudar cumplir objetivo propuesto mision senior account executive sera responsable buscar desarrollar cartera clientes potencial colombia asi nivel latam excepto peru mexico sumaras reto crear experiencia aprendizaje medida fomentar aprendizaje continuo organización puedan enfrentarse reto industria cambiante miles trabajo reformulan tecnologia buscar reto profesional poner prueba conocimientos capacidad dias este posicion senior account executive rol seran superar cuota mensual trimestral anual venta asignado participar ciclo venta generacion prospeccion cliente potencial gestion pipeline cierre incorporacion cliente cultivar mantener relación comerciales mediano mano sales development executives customer success executives garantizar colocacion seguimiento exitoso cliente alinear recursos productos operaciones marketing sostener negocio utilizar tacticas venta innovador creativo presentar solución comerciales crehana empresa clientes potencial recordar rol fluido frecuencia evolucionar funcion prioridad estrategia corporativo demanda mercado preferencia graduado universidad anhos minimo posees excelente habilidad comunicacion escrito verbal presentacion ingles imprescindible anhos experiencia venta minimo cuenta experiencia venta solución comerciales imprescindible experiencia generacion estrategia adquisicion venta imprescindible posees experiencia desarrollo negocio plus cuenta experiencia manejo salesforce crm venta jugador equipo mentalidad ningun demasiado grande ningun demasiado pequenho capaz establecer fomentar relación level penetrar mercado generar iniciativo penetracion cuenta persona altamente organizado orientado detalle actitud resolucion problema posees fuerte etica espiritu emprendedor capacidad desempenhar multiples función operar forma independiente genuino interes educacion transformacion social imprescindible beneficio crehana preocupar bienestar equipo nivel personal profesional programa beneficios atender diverso necesidad crehaners querer mas invitamos revisarlos link ademas seras plataformas entrenamiento proyeccion crecimiento latinoamerica espanha mas millón estudiante mundo mas empresa confian crehana wayra startup peru emerge education endeavor global equal employment opportunity statement crehana aceptar diferencias celebrar apoyar promover diversidad importante cultura enorgullecer igualdad oportunidades persona importar religion color nacionalidad origen genero orientacion sexual identidad genero expresion genero edad persona tipo discapacidad objetivo equipo diverso represente buscar construir futuro latinoamerica incluyente empoderado educado decisión tranquilidad familia tomado decision seguir trabajar forma remoto preocupacion numero equipo persona convivir mantener salvo coyuntura
15,buscar cientifico dato medellin minimo anhos experiencia facturanet buscar resolver problematica cadena suministro financiero pymes proceso facturacion gestion ciclo cuenta cobrar financiacion basa factura ocupe posicion cientifico dato debera liderar estrategia dato identificar integrar conjunto datos aprovechar traves capacidad productos estrecha colaboracion equipo ingenieria disenhar estrategia ejecutar desarrollo producto datos experiencia lenguaje informaticos estadisticos python slq etc manipular dato extraer conocimientos conjuntos dato experiencia creacion arquitectura datos conocimiento tecnicas aprendizaje automatico agrupamiento aprendizaje arbol decisión red neuronal artificial etc ventaja desventajas mundo real conocimiento experiencia tecnicas concepto estadisticos avanzado regresion propiedad distribuciones prueba estadisticas adecuado etc experiencia aplicación disposicion aprender dominar tecnologias tecnicas conocimientos codificacion experiencia lenguaje java javascript etc conocimiento experiencia tecnicas estadisticas data mining glm regression random forest boosting trees text mining analisis red social etc experiencia servicio web experiencia analizar dato proveedor externo google analytics site catalyst coremetrics adwords crimson hexagon facebook insights etc experiencia herramienta informaticas dato distribuido map reducir hadoop hive spark gurobi mysql etc experiencia visualizar presentar dato partes interesado cargo ingresar link jobs genoma work
16,unete equipo medellin salario     salario minimos comisión función responsabilidades cumplimiento meta comerciales venta asesoria estudios preventa venta postventa consecucion clientes documentacion visas tramites administracion proceso cliente matricular visa despedido cumplimiento llamado seguimiento prospeccion participacion ferias eventos actualizacion proceso visa paises mantenerse actualizado regulación paises visas etc entrenamiento colaborador
17,mision recobro rapidez costes mas bajo satisfaccion cliente contribuir objetivos unidad recobros aumentar porcentaje exito rapidez cobro aumentar satisfaccion cliente crecimiento negocio terceros función examen gestion expediente recobro nacional extranjeros via amistoso judicial gestion administrativo envio comunicacion situacion incumplimiento pago relacion abogado cargo expediente via judicial representacion empresa caso necesario negociacion planes pagos deudor negociacion convenios recobro cliente perfil profesional tecnologo profesional carrera administrativo experiencia cobro cartera superior anhos
18,importante empresa nivel internacional requerir equipo ecommerce manager profesional marketing digital areas afín indispensable nivel ingles medio hablarlo leerlo escribirlo experiencia anhos cargo relacionado commerce manejo paginas web tendra cargo disenhadora grafica conocimientos requerido amplio spotify google analytics google ads business manager instagram for business amazon seller central responsabilidad liderar equipo area ecommerce traves administracion implementacion efectivo pagina web plataforma dirigir implementar estrategia digital organica estrategia pauta pagado responsable asegurar funcionamiento optimo paginas web paginas mejoramiento continuo garantizar innovacion excelente experiencia usuario canal commerce encargado responsable desarrollar implementar seguimiento control proyección ventas encargado responsable estrategia produccion continua contenido paginas internet red social dirigir implementar estrategia digital amazon seller integral equipo estrategia red social pauta seo mail marketing salario     segun experiencia prestación legal horario lunes viernes labor casa teletrabajo contrato indefinido cumples experiencia perfil enviar hoja vida correo juliana pelaez manpower com
19,saludos activeone solutions busqueda tester mir anhos experiencia selenium serenity salario convenir ubicacion puedes elegir remoto presencial aperturemos oficina feliz convocatorio medellin colombia vacante puedes aplicar pais interesad aplicar convocatoria conoces alguien interesarle enviame actualizado correo david valencia activeone
20,start trazado objetivo revolucionar educacion america latino equipo mas persona peru mexico colombia argentino ecuador bolivia trabajar objetivo suenho profesional empezar operaciones fecha levantado mas millón dolares capital riesgo rondas inversion acompanhan inversionistas global regional acumen capital mountain nacer salesforce ventures rethink education buscar escalar oferta curso desarrollar producto consolidar marca mexico colombia expandirnos geografias asi crehana crecer pasos agigantado objetivo lideres industria dias posicionarnos plataforma lider educacion region entras tallar buscar senior front end engineer equipo ayudar cumplir objetivo propuesto mision senior front end engineer sera crear interfaces usuario alto performance eficiente escalable asi equipo backend producto brindar experiencia aprendizaje estudiante plataforma persona curioso dominas javascript capacidad atencion detalle gustar reto posicion ideal senior front end engineer rol seran mejorar constantemente experiencia aprendizaje usuario plataforma traves desarrollo producto codigo mantenible entendible testeable creacion codigo guias interno desarrollo velar mejora cumplir code review owner proyecto tareas core impactar metricas squad ayudar identificar punto mejora infraestructura front end guild infraestructura front end asegurar funcionamiento eficiente medir impacto features implementado ademas hacerles seguimiento despues par production monitoreo error funnels tracks contribuir guias desarrollo javascript react testing graphql etc mejora workflow equipo mas anhos experiencia expertise solido javascript react typescript experiencia tecnologias común ecosistema javascript react apollo styled components react hook form etc trabajado herramienta moderno babel webpack conocimiento medio avanzar practicas desarrollo relacionado legibilidad mantenimiento escalabilidad codigo front end experiencia escribir prueba automatizado jest react testing library cypress etc posees agilidad desarrollo aprendizaje continuo permitir adaptarte rapidamente cambios dia dia capacidad colaborar coordinar forma efectivo equipo areas finalidad asegurar exito proyecto positivo mentalidad orientado solución capacidad autogestion habilidad organizacion personal capacidad comunicar forma simple concepto problema tecnicos complejos inclinacion comunicacion diversidad inclusion beneficio crehana preocupar bienestar equipo nivel personal profesional programa beneficios atender diverso necesidad crehaners querer mas invitamos revisarlos link ademas seras plataformas entrenamiento proyeccion crecimiento latinoamerica espanha mas millón estudiante mundo mas empresa confian crehana wayra startup peru emerge education endeavor global equal employment opportunity statement crehana aceptar diferencias celebrar apoyar promover diversidad importante cultura enorgullecer igualdad oportunidades persona importar religion color nacionalidad origen genero orientacion sexual identidad genero expresion genero edad persona tipo discapacidad objetivo equipo diverso represente buscar construir futuro latinoamerica incluyente empoderado educado decisión tranquilidad familia tomado decision seguir trabajar forma remoto preocupacion numero equipo persona convivir mantener salvo coyuntura
21,importante empresa telecomunicaciones buscar equipo ciudad medellin ingeniero desarrollo aplicación ciudad medellin proposito investigar analizar disenhar desarrollar componente software basado especificación requisitos asegurar funcionalidad calidad formacion academica ingeniero graduado informatica sistema telecomunicación desarrollo softwar afín experiencia anhos experiencia desarrollo aplicación web alto desempenho alto concurrencia conocimientos node servicio nube python metodologias agiles salario tipo contrato termino indefinido apasionado investigacion cumples requisito anteriormente descrito postulate
22,cargo analista automatizador mision cargo definir modelo gobierno automatizacion empresa asi implementacion operacion ajustandolo necesidad estrategia tecnologica desarrollo lineamiento politicas metodologia proceso pruebas herramientas definido pratech responsabilidad cargo etapa pruebas proyecto software metodologia tradicional entorno agiles scrum conocimientos prueba sitios web velar asegurar entrega cliente producto cumplir satisfactoriamente necesidad conocimiento prueba funcional manual automatizado conocimientos automatizacion prueba pipeline usar herramienta git jenkins capacidad definir estrategicamente plan prueba funcional ruta criticar automatizacion prueba aplicacion disenho caso prueba persona equipo debera comprender usar bdd acompanhar evolucion equipo medio capacitacion asesoria pruebas automatizado reportar equipo proyecto incidente identificado estimaciones participacion area calidad proyecto investigar mejores tecnicas prueba relacionado area fortalecer equipo calidad participar activamente reunión proyecto area apoyar implementacion metodologias organizacion cumplir lineamiento reglamento organizacion generar sugerencias idea mejorar aplicativo desarrollado conocimientos especificos planeacion estrategia prueba automatizado manual disenho ejecucion caso prueba automatizado funcional conocimientos distinto gestor base dato mysql sql server creacion scripts queries herramienta automatizacion prueba sitios web selenium cypress testproject serenity cucumber patrón disenho automatizacion prueba page object model screenplay conocimiento basico lenguaje programacion logica especial java javascript conocimiento marcos agiles scrum conocimiento control versión git conocimiento integracion continua conocimiento automatizacion servicio certificación istqb fundation level deseable technical test analyst deseable
23,importante empresa tecnologia requerir tecnologo profesional sistema telecomunicación electronico carrera afín experiencia minima anhos disenho experiencia centrado usuarios afinidad ecosistema digital marco agiles scrum leer documentacion historia usuario
24,acerca cliente cliente reconocido companhia americana lider automatizacion marketing descripcion posicion arquitecto software debera aprovechar marco arquitectura empresarial tomar decisión sistematicas aportar perspectiva panorama general adopcion idea analizar objetivo empresa evaluar oportunidad riesgo beneficio costo proponer solución tecnicas ayudar tomador decisión aplicar cambio relevante describir arquitectura actual empresa investigacion componente organizado sistema equipo devops colaborar decisión clave implementacion aplicación arquitectura software revisión codigo supervisar solucion software iteracion version sistema control calidad solucion softwar incluido correccion escalabilidad seguridad capacidad prueba mantenibilidad disponibilidad confiabilidar implementar poc vincularlos cliente potencial tecnicos implementación perfil buscado perfil cumplir siguiente requerimiento profesional ingenieria sistema afín mas anhos experiencia disenho entrega sistema distribuido escala idealmente utilizar patrón soa rest conocimiento solido microservicios cloud computing conocimiento solido transmision dato experiencia procesos ciclo vida desarrollo softwar sdlc experiencia comprobado lenguaje java javascript php competente desarrollo actual herramienta gestion codigo fuente git svn capacidad priorizar administrar segun cronogramas criticos proyecto entorno acelerado ofrecer ofrecer equipo lideres companhia colombia reportar unido atractivo paquete salarial beneficio posibilidad remoto
25,semillas arroyave requerir ingeniero agronomo comercializacion semillas indispensable minimo anhos experiencia venta agricolas semillas manejo tecnico conocimiento zona oriente antioquenho cumplimiento meta comerciales manejo cartera visita campo excelente servicio cliente poseer vehiculo cumplir condición mencionado favor aplique interesado favor enviar hoja vida correo electronico gestionhumana semillasarroyave com
26,importante empresa nivel nacional tecnologia requerir equipo ejecutivo comercial externo cuenta clave labor externo tecnologo areas administrativo comerciales venta afín experiencia anho venta clientes corporativo empresarial celulares plan tecnologia general importante vehiculo moto carro función seguimiento comercial cliente asignado implementar hacerles seguimiento estrategia comerciales implementado empresa analitica monitorizacion parametros estrategicos kpis apertura clientes zonas empresa aun presencia planificacion acción eventos salario fijo comisión rodamiento prestación legal horario lunes sabado contrato indefinido cumples experiencia perfil enviar hoja vida correo juliana pelaez manpower com
27,imaginate emprender proyecto desafiante dinamicos innovador responsable disenho producto impacto colaborar definicion escalabilidad arquitectura producto programar codigo calidad velar funcionar implementarlo requisito experiencia previa desarrollar java groovy nodejs lenguaje programacion similar poseer experiencia bases dato relacionales nosql contar experiencia desarrollar sistema distribuido trabajar ambiente cloud desarrollar apis rest solución escalable proponer companhia espiritu emprendedor encantar pensar grande plazo protagonista desarrollo ambiente oportunidad aprendizaje crecimiento expansion proyecto desafiante compartir aprender equipo profesional especialista excelente clima necesario vivas experiencia
28,intergrupo busqueda analista funcional profesion ingeniero sistema electronica afín experiencia rol especifico anhos levantamiento requerimiento documentacion requisito disenhos caso experiencia proyecto ejecutado metodologias agiles scrum kanban elaboracion refinamiento historia usuario diagramacion uml manejo azure ofrecer contrato termino indefinido prestación social clase ingles beneficio adicional
29,apasionar reto construir desarrollar tecnicas comerciales oportunidad pertenecer companhia equipo dinamico mision coordinador canal institucional food service desarrollar implementar tacticas comerciales aliado canal institucional food service medio plan acompanhamiento estrategico permitir alcanzar objetivo meta propuesto canal companhia monitorear indicador gestion satisfacer necesitado aliado requisito apasionar venta entendimiento canal institucional food service nivel academico profesional buscar persona asumir personal objetivos companhia actuen inspirar demas embajador cultura alpinista
30,customer success specialist ejecutivo comerciales asesores venta simplificar experiencia adquirir asistencia viajes entregar maximo asesorar cliente atencion wow chat email telefono que tendras ejecutivo comercial customer success specialist asistir cliente proceso compra asistencia viaje entregar experiencia wow usar enfoque venta consultivo centrado cliente requisito que necesitar graduado universidad carrera profesional energia motivacion desarrollarte area comercial experiencia trabajar cliente sumar excluyente habilidad comunicativo escrito oral apasionado orientado persona comprometido exito calidad beneficio que ofrecer sueldo mixto smvl comisión ventas quieras completamente remoto libre dias extras vacaciones anho seguro viajes gratis descuento acompanhante horario lunes jueves viernes sabados dias companhia comparar plataforma mas grande completo producto seguros financiero latinoamerica permitir comparar comprar online oferta mercado equipo filosofia crear tecnologia motor impulsar desafios aprovechar maximo oportunidad gustar persona espiritu emprendedor amor cambio apasionado mover maxima energia busqueda resultado proveer entorno distinto relación horizontal autonomia norma promover desarrollo proyecto desafiante generar impacto asi lideres ocupar rol facilitador busqueda desarrollar maximo potencial colaborador
31,reconocido entidad financiero brindar oportunidad laboral tecnologos graduado semestre tambien aplicar estudiante universitarios estudio aplazado carrera tecnologicas profesional ofrecer capacitacion anho sena capacitacion recibir apoyo economico afiliacion eps terminar capacitacion empezar laborar banco cajero asesor comercial requisito tecnologo graduado cursar semestre estudiante universitario estudio suspendido minimo semestre aprobado firmado contrato aprendizaje sentir gusto interes area comercial
32,solvo global buscar analistas financiero contador empresa americana requisito presencial barranquilla medellin excelente nivel ingles manejo avanzado excel experiencia contabilidad liderazgo analisis dato financiero beneficio horario estable apoyo educativo especialmente idioma salario competitivo excelente ambiente laboral come and join our amazing team
